customer_id,age,age_group,gender,item_purchased,category,purchase_amount_usd,loc,region,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,purchase_frequency_days
449,32,Adult,Male,Gloves,Accessories,23,Missouri,Midwest,M,Yellow,Summer,3.4,Yes,Next Day Air,Yes,35,Bank Transfer,Fortnightly,14
450,26,Young Adult,Male,Jewelry,Accessories,45,New York,Northeast,L,Peach,Summer,2.9,Yes,2-Day Shipping,Yes,35,Bank Transfer,Monthly,30
451,25,Young Adult,Male,Boots,Footwear,21,Connecticut,Northeast,L,Beige,Summer,2.7,Yes,Store Pickup,Yes,19,Credit Card,Monthly,30
452,66,Senior,Male,Jewelry,Accessories,31,Virginia,South,M,Pink,Summer,4.3,Yes,Express,Yes,26,Credit Card,Fortnightly,14
453,45,Middle-aged,Male,Pants,Clothing,45,Missouri,Midwest,M,Violet,Summer,3.7,Yes,Express,Yes,39,PayPal,Fortnightly,14
454,54,Middle-aged,Male,Jewelry,Accessories,56,Nebraska,Midwest,XL,Peach,Winter,2.8,Yes,Next Day Air,Yes,22,Credit Card,Weekly,7
455,37,Adult,Male,Jacket,Outerwear,97,New Jersey,Northeast,S,Gold,Summer,3.2,Yes,Next Day Air,Yes,14,Cash,Bi-Weekly,14
456,54,Middle-aged,Male,Blouse,Clothing,100,Utah,West,XL,Gold,Fall,3.6,Yes,Store Pickup,Yes,50,Debit Card,Fortnightly,14
457,50,Middle-aged,Male,Blouse,Clothing,96,North Carolina,South,S,Indigo,Fall,4,Yes,2-Day Shipping,Yes,33,Credit Card,Quarterly,90
458,25,Young Adult,Male,Gloves,Accessories,99,Rhode Island,Northeast,M,Blue,Spring,4.9,Yes,Next Day Air,Yes,48,Debit Card,Every 3 Months,90
459,47,Middle-aged,Male,Shorts,Clothing,91,Arkansas,South,L,Black,Winter,4,Yes,2-Day Shipping,Yes,48,PayPal,Monthly,30
460,63,Senior,Male,Hat,Accessories,30,Maryland,South,L,Black,Winter,3.8,Yes,Standard,Yes,27,PayPal,Fortnightly,14
461,64,Senior,Male,Shoes,Footwear,65,South Carolina,South,L,Teal,Summer,3.8,Yes,Store Pickup,Yes,27,Bank Transfer,Weekly,7
462,18,Young Adult,Male,Boots,Footwear,93,Ohio,Midwest,M,Yellow,Winter,3.9,Yes,Express,Yes,20,Venmo,Weekly,7
463,59,Senior,Male,Jacket,Outerwear,81,Illinois,Midwest,M,White,Fall,3.3,Yes,Express,Yes,48,Venmo,Every 3 Months,90
464,37,Adult,Male,Jewelry,Accessories,81,Georgia,South,S,Orange,Summer,2.7,Yes,Standard,Yes,29,Venmo,Weekly,7
465,23,Young Adult,Male,Sunglasses,Accessories,52,Alabama,South,M,Silver,Winter,4.7,Yes,Next Day Air,Yes,45,PayPal,Monthly,30
466,54,Middle-aged,Male,Skirt,Clothing,88,Oklahoma,South,M,Pink,Summer,2.8,Yes,Next Day Air,Yes,25,Cash,Quarterly,90
467,38,Adult,Male,Jeans,Clothing,24,Vermont,Northeast,L,Turquoise,Winter,4.6,Yes,Free Shipping,Yes,25,PayPal,Weekly,7
468,19,Young Adult,Male,Backpack,Accessories,51,Nebraska,Midwest,S,Orange,Spring,4.5,Yes,2-Day Shipping,Yes,37,Debit Card,Every 3 Months,90
469,34,Adult,Male,Backpack,Accessories,38,Georgia,South,S,Peach,Fall,5,Yes,Free Shipping,Yes,16,Cash,Quarterly,90
470,21,Young Adult,Male,Shorts,Clothing,46,Alabama,South,L,Pink,Fall,4.1,Yes,2-Day Shipping,Yes,30,Debit Card,Bi-Weekly,14
471,50,Middle-aged,Male,Dress,Clothing,63,Minnesota,Midwest,L,Teal,Summer,4.6,Yes,Express,Yes,6,Cash,Every 3 Months,90
472,55,Middle-aged,Male,Scarf,Accessories,72,Missouri,Midwest,XL,White,Winter,4.9,Yes,2-Day Shipping,Yes,36,Bank Transfer,Quarterly,90
473,20,Young Adult,Male,Jeans,Clothing,39,Georgia,South,L,Gray,Winter,3.9,Yes,Free Shipping,Yes,3,Bank Transfer,Quarterly,90
474,34,Adult,Male,Coat,Outerwear,42,West Virginia,South,L,Olive,Spring,3.9,Yes,Store Pickup,Yes,29,PayPal,Every 3 Months,90
475,62,Senior,Male,Sweater,Clothing,76,Arkansas,South,XL,Maroon,Summer,2.6,Yes,2-Day Shipping,Yes,15,Cash,Quarterly,90
476,21,Young Adult,Male,Sneakers,Footwear,66,Ohio,Midwest,L,Magenta,Summer,2.7,Yes,Free Shipping,Yes,18,Debit Card,Annually,365
477,21,Young Adult,Male,Scarf,Accessories,90,Connecticut,Northeast,M,Magenta,Spring,3.5,Yes,Free Shipping,Yes,2,Debit Card,Fortnightly,14
478,42,Adult,Male,Sweater,Clothing,56,North Dakota,Midwest,M,Green,Summer,3.7,Yes,Free Shipping,Yes,49,Debit Card,Weekly,7
479,35,Adult,Male,Jewelry,Accessories,43,Kansas,Midwest,XL,Turquoise,Winter,3.2,Yes,Free Shipping,Yes,48,Venmo,Annually,365
480,39,Adult,Male,Handbag,Accessories,84,Iowa,Midwest,L,Yellow,Winter,3.3,Yes,Store Pickup,Yes,43,Venmo,Monthly,30
481,68,Senior,Male,Hoodie,Clothing,88,Vermont,Northeast,M,Gray,Summer,4.8,Yes,Standard,Yes,30,Debit Card,Bi-Weekly,14
482,46,Middle-aged,Male,Hat,Accessories,88,Wisconsin,Midwest,L,Peach,Fall,3.2,Yes,2-Day Shipping,Yes,10,PayPal,Fortnightly,14
483,41,Adult,Male,Belt,Accessories,42,Connecticut,Northeast,M,Yellow,Winter,2.5,Yes,2-Day Shipping,Yes,11,Venmo,Annually,365
484,23,Young Adult,Male,Hoodie,Clothing,73,Oklahoma,South,M,White,Fall,3.9,Yes,Store Pickup,Yes,12,Debit Card,Weekly,7
485,68,Senior,Male,Hat,Accessories,73,Missouri,Midwest,L,Lavender,Summer,4.7,Yes,Free Shipping,Yes,28,Bank Transfer,Quarterly,90
486,48,Middle-aged,Male,Shoes,Footwear,44,Tennessee,South,S,Blue,Spring,2.6,Yes,Next Day Air,Yes,36,Debit Card,Fortnightly,14
487,38,Adult,Male,Sandals,Footwear,63,New Mexico,West,M,Charcoal,Fall,2.8,Yes,Store Pickup,Yes,37,Venmo,Every 3 Months,90
488,41,Adult,Male,Jacket,Outerwear,68,Iowa,Midwest,L,Red,Winter,4.4,Yes,Store Pickup,Yes,22,Credit Card,Quarterly,90
489,58,Senior,Male,Sweater,Clothing,29,Maine,Northeast,L,Olive,Spring,4.6,Yes,Standard,Yes,32,Venmo,Weekly,7
490,49,Middle-aged,Male,Socks,Clothing,85,South Dakota,Midwest,M,Green,Summer,3.2,Yes,Standard,Yes,40,PayPal,Annually,365
491,57,Middle-aged,Male,Sneakers,Footwear,42,Colorado,West,M,Silver,Winter,4.2,Yes,2-Day Shipping,Yes,47,Cash,Monthly,30
492,49,Middle-aged,Male,Coat,Outerwear,69,Vermont,Northeast,M,Silver,Summer,3.8,Yes,2-Day Shipping,Yes,24,Credit Card,Bi-Weekly,14
493,50,Middle-aged,Male,Shirt,Clothing,62,Michigan,Midwest,M,Black,Fall,3.9,Yes,Standard,Yes,11,Debit Card,Weekly,7
494,28,Young Adult,Male,Backpack,Accessories,48,Nevada,West,XL,Red,Summer,4.7,Yes,Store Pickup,Yes,19,Cash,Bi-Weekly,14
495,38,Adult,Male,Boots,Footwear,68,Indiana,Midwest,M,Indigo,Winter,4.5,Yes,Express,Yes,42,Debit Card,Weekly,7
496,33,Adult,Male,Handbag,Accessories,36,Michigan,Midwest,XL,Cyan,Fall,3.3,Yes,Free Shipping,Yes,6,Debit Card,Fortnightly,14
497,30,Young Adult,Male,Dress,Clothing,63,California,West,S,Maroon,Fall,3.3,Yes,Express,Yes,31,Venmo,Fortnightly,14
498,43,Adult,Male,Sneakers,Footwear,39,Oklahoma,South,S,Silver,Winter,4.6,Yes,Free Shipping,Yes,31,Cash,Weekly,7
499,43,Adult,Male,Boots,Footwear,78,Iowa,Midwest,M,Lavender,Spring,3.6,Yes,Free Shipping,Yes,27,Bank Transfer,Monthly,30
500,36,Adult,Male,Shoes,Footwear,99,Rhode Island,Northeast,L,Silver,Winter,4.8,Yes,Express,Yes,24,PayPal,Monthly,30
501,36,Adult,Male,T-shirt,Clothing,31,Washington,West,L,Purple,Fall,4.8,Yes,Next Day Air,Yes,35,Venmo,Every 3 Months,90
502,64,Senior,Male,Boots,Footwear,45,Florida,South,M,Cyan,Spring,2.9,Yes,Next Day Air,Yes,21,Venmo,Annually,365
503,59,Senior,Male,Pants,Clothing,30,South Carolina,South,S,Cyan,Fall,2.8,Yes,Express,Yes,8,PayPal,Fortnightly,14
504,55,Middle-aged,Male,Shoes,Footwear,24,West Virginia,South,M,Lavender,Summer,3.2,Yes,Next Day Air,Yes,26,Bank Transfer,Quarterly,90
505,42,Adult,Male,Shoes,Footwear,22,Missouri,Midwest,M,Maroon,Winter,3.9,Yes,Free Shipping,Yes,26,PayPal,Annually,365
506,61,Senior,Male,T-shirt,Clothing,63,Maine,Northeast,L,Gray,Spring,4.3,Yes,Express,Yes,9,Cash,Bi-Weekly,14
507,28,Young Adult,Male,Scarf,Accessories,40,Georgia,South,M,Olive,Fall,2.7,Yes,2-Day Shipping,Yes,48,Debit Card,Annually,365
508,65,Senior,Male,Shorts,Clothing,20,Maine,Northeast,M,Magenta,Spring,5,Yes,Store Pickup,Yes,33,Debit Card,Fortnightly,14
509,27,Young Adult,Male,Jewelry,Accessories,20,Illinois,Midwest,S,Yellow,Winter,3.7,Yes,Store Pickup,Yes,31,PayPal,Quarterly,90
510,41,Adult,Male,T-shirt,Clothing,80,Delaware,South,L,Cyan,Summer,3.9,Yes,Free Shipping,Yes,17,Debit Card,Weekly,7
511,21,Young Adult,Male,Shirt,Clothing,87,West Virginia,South,M,Teal,Fall,3.9,Yes,2-Day Shipping,Yes,22,Venmo,Annually,365
512,61,Senior,Male,Shirt,Clothing,46,Hawaii,West,L,Yellow,Fall,3.1,Yes,Free Shipping,Yes,8,PayPal,Annually,365
513,19,Young Adult,Male,Gloves,Accessories,49,New York,Northeast,L,Peach,Winter,3.8,Yes,Next Day Air,Yes,2,Bank Transfer,Monthly,30
514,22,Young Adult,Male,Scarf,Accessories,65,New Mexico,West,M,Peach,Fall,3.6,Yes,Store Pickup,Yes,45,Venmo,Annually,365
515,64,Senior,Male,Skirt,Clothing,62,Indiana,Midwest,S,Olive,Winter,4.3,Yes,Standard,Yes,47,PayPal,Quarterly,90
516,28,Young Adult,Male,Hat,Accessories,67,Kentucky,South,L,Charcoal,Spring,4.5,Yes,Next Day Air,Yes,7,Cash,Monthly,30
517,34,Adult,Male,Hoodie,Clothing,41,West Virginia,South,L,Indigo,Fall,2.8,Yes,2-Day Shipping,Yes,19,Debit Card,Bi-Weekly,14
518,61,Senior,Male,Boots,Footwear,49,North Dakota,Midwest,L,Silver,Fall,2.7,Yes,Free Shipping,Yes,44,Cash,Every 3 Months,90
519,24,Young Adult,Male,Blouse,Clothing,100,Oregon,West,M,Beige,Fall,2.9,Yes,Next Day Air,Yes,16,Venmo,Every 3 Months,90
520,19,Young Adult,Male,Belt,Accessories,54,Minnesota,Midwest,L,Blue,Summer,4.4,Yes,2-Day Shipping,Yes,17,Bank Transfer,Quarterly,90
521,51,Middle-aged,Male,Sunglasses,Accessories,84,South Carolina,South,M,White,Spring,3.9,Yes,Free Shipping,Yes,20,Debit Card,Quarterly,90
522,36,Adult,Male,Shorts,Clothing,41,Vermont,Northeast,L,Gold,Winter,3.5,Yes,Standard,Yes,50,Bank Transfer,Annually,365
523,65,Senior,Male,Gloves,Accessories,88,Minnesota,Midwest,M,Blue,Spring,2.5,Yes,Store Pickup,Yes,37,Cash,Quarterly,90
524,46,Middle-aged,Male,Sandals,Footwear,40,Delaware,South,M,Orange,Spring,4.9,Yes,Express,Yes,5,PayPal,Quarterly,90
525,59,Senior,Male,Shirt,Clothing,39,Pennsylvania,Northeast,M,Gold,Summer,4.8,Yes,Free Shipping,Yes,44,PayPal,Annually,365
526,51,Middle-aged,Male,Coat,Outerwear,37,Iowa,Midwest,M,Cyan,Spring,3.2,Yes,Next Day Air,Yes,41,Debit Card,Monthly,30
527,51,Middle-aged,Male,Pants,Clothing,52,New Jersey,Northeast,S,Red,Winter,4.9,Yes,Standard,Yes,19,Cash,Monthly,30
528,21,Young Adult,Male,T-shirt,Clothing,23,South Carolina,South,L,Yellow,Winter,4.3,Yes,Next Day Air,Yes,47,Bank Transfer,Every 3 Months,90
529,34,Adult,Male,Sneakers,Footwear,88,Maryland,South,S,Beige,Winter,3.2,Yes,Express,Yes,40,Cash,Annually,365
530,32,Adult,Male,Shorts,Clothing,84,California,West,M,Orange,Fall,3.7,Yes,Standard,Yes,6,Credit Card,Monthly,30
531,48,Middle-aged,Male,Coat,Outerwear,37,Montana,West,XL,Magenta,Winter,3.2,Yes,Store Pickup,Yes,25,Credit Card,Bi-Weekly,14
532,50,Middle-aged,Male,Sandals,Footwear,51,Vermont,Northeast,L,Purple,Fall,3.4,Yes,Next Day Air,Yes,42,Cash,Weekly,7
533,26,Young Adult,Male,Pants,Clothing,76,Texas,South,L,Black,Winter,4.1,Yes,Express,Yes,35,Bank Transfer,Every 3 Months,90
534,57,Middle-aged,Male,Sandals,Footwear,60,North Carolina,South,L,Pink,Spring,4.5,Yes,Next Day Air,Yes,17,Debit Card,Weekly,7
535,65,Senior,Male,Gloves,Accessories,72,Florida,South,L,Pink,Fall,4.5,Yes,Next Day Air,Yes,4,PayPal,Quarterly,90
536,56,Middle-aged,Male,T-shirt,Clothing,45,West Virginia,South,L,Maroon,Spring,3.2,Yes,Free Shipping,Yes,24,Bank Transfer,Weekly,7
537,44,Adult,Male,Jacket,Outerwear,84,Illinois,Midwest,S,Maroon,Fall,4.4,Yes,Store Pickup,Yes,16,Debit Card,Every 3 Months,90
538,50,Middle-aged,Male,Blouse,Clothing,49,Virginia,South,S,Turquoise,Summer,3,Yes,Store Pickup,Yes,14,Debit Card,Annually,365
539,27,Young Adult,Male,Socks,Clothing,22,Virginia,South,XL,Green,Spring,3.2,Yes,Free Shipping,Yes,43,Cash,Weekly,7
540,49,Middle-aged,Male,Coat,Outerwear,48,Wyoming,West,M,Violet,Winter,4,Yes,Store Pickup,Yes,49,Debit Card,Weekly,7
541,49,Middle-aged,Male,Dress,Clothing,37,South Carolina,South,M,Lavender,Spring,3.1,Yes,Next Day Air,Yes,33,Cash,Every 3 Months,90
542,52,Middle-aged,Male,Jacket,Outerwear,27,Connecticut,Northeast,L,Gray,Fall,2.8,Yes,Next Day Air,Yes,45,Cash,Bi-Weekly,14
543,27,Young Adult,Male,Boots,Footwear,79,Illinois,Midwest,XL,Teal,Spring,4.6,Yes,Next Day Air,Yes,35,Cash,Bi-Weekly,14
544,53,Middle-aged,Male,Skirt,Clothing,98,Alabama,South,S,Red,Spring,4.3,Yes,Express,Yes,11,Credit Card,Monthly,30
545,34,Adult,Male,Sandals,Footwear,64,Washington,West,S,Yellow,Summer,3.3,Yes,Standard,Yes,30,Bank Transfer,Every 3 Months,90
546,33,Adult,Male,Coat,Outerwear,32,Alabama,South,L,Magenta,Summer,3.5,Yes,2-Day Shipping,Yes,48,Debit Card,Annually,365
547,62,Senior,Male,Hoodie,Clothing,74,New Mexico,West,M,Brown,Winter,3.4,Yes,Free Shipping,Yes,45,Venmo,Bi-Weekly,14
548,38,Adult,Male,Jacket,Outerwear,50,Nevada,West,M,Blue,Winter,2.8,Yes,Free Shipping,Yes,26,Venmo,Weekly,7
549,36,Adult,Male,Backpack,Accessories,64,Nebraska,Midwest,M,Black,Winter,4.6,Yes,Store Pickup,Yes,41,Debit Card,Every 3 Months,90
550,31,Young Adult,Male,Backpack,Accessories,29,Arizona,West,S,Olive,Fall,3.6,Yes,Express,Yes,37,Venmo,Bi-Weekly,14
551,62,Senior,Male,Belt,Accessories,62,Georgia,South,M,Olive,Summer,3.3,Yes,Store Pickup,Yes,12,PayPal,Weekly,7
552,29,Young Adult,Male,Coat,Outerwear,78,Idaho,West,XL,Green,Fall,3.1,Yes,2-Day Shipping,Yes,27,Cash,Bi-Weekly,14
553,24,Young Adult,Male,T-shirt,Clothing,94,Missouri,Midwest,M,Peach,Fall,3.5,Yes,Express,Yes,18,Bank Transfer,Weekly,7
554,63,Senior,Male,Sunglasses,Accessories,59,Florida,South,M,White,Winter,3.2,Yes,Express,Yes,15,Credit Card,Quarterly,90
555,56,Middle-aged,Male,Sneakers,Footwear,47,Minnesota,Midwest,M,Red,Summer,3,Yes,Express,Yes,34,Bank Transfer,Weekly,7
556,63,Senior,Male,Gloves,Accessories,57,Maine,Northeast,M,White,Fall,4.8,Yes,Express,Yes,37,Venmo,Annually,365
557,40,Adult,Male,Coat,Outerwear,90,Montana,West,L,Indigo,Winter,5,Yes,Store Pickup,Yes,21,Cash,Fortnightly,14
558,18,Young Adult,Male,Shirt,Clothing,60,Alaska,West,M,White,Spring,2.9,Yes,Free Shipping,Yes,31,Debit Card,Weekly,7
559,50,Middle-aged,Male,Sneakers,Footwear,77,Iowa,Midwest,L,Teal,Fall,3.2,Yes,Express,Yes,43,Debit Card,Every 3 Months,90
560,66,Senior,Male,Scarf,Accessories,41,Arizona,West,M,Indigo,Fall,2.9,Yes,Store Pickup,Yes,22,Bank Transfer,Monthly,30
561,25,Young Adult,Male,Jewelry,Accessories,48,Louisiana,South,L,Red,Fall,3.8,Yes,Free Shipping,Yes,12,Debit Card,Annually,365
562,65,Senior,Male,Jacket,Outerwear,65,Alabama,South,M,Blue,Fall,2.6,Yes,Next Day Air,Yes,25,PayPal,Fortnightly,14
563,53,Middle-aged,Male,Jeans,Clothing,62,Missouri,Midwest,M,Blue,Summer,3.5,Yes,Standard,Yes,40,Debit Card,Annually,365
564,61,Senior,Male,Shoes,Footwear,99,Idaho,West,M,Black,Fall,4.4,Yes,Standard,Yes,16,Debit Card,Quarterly,90
565,67,Senior,Male,Hoodie,Clothing,58,Florida,South,M,Olive,Winter,3.4,Yes,Next Day Air,Yes,30,Bank Transfer,Weekly,7
566,59,Senior,Male,Backpack,Accessories,43,Idaho,West,L,Lavender,Fall,4.2,Yes,Store Pickup,Yes,10,Venmo,Weekly,7
567,55,Middle-aged,Male,Sneakers,Footwear,93,Alabama,South,M,Indigo,Spring,3.6,Yes,Store Pickup,Yes,1,Debit Card,Fortnightly,14
568,21,Young Adult,Male,Blouse,Clothing,50,New Hampshire,Northeast,S,Red,Winter,3,Yes,Next Day Air,Yes,24,Venmo,Fortnightly,14
569,44,Adult,Male,Pants,Clothing,88,Utah,West,L,Red,Summer,4,Yes,Free Shipping,Yes,36,PayPal,Monthly,30
570,65,Senior,Male,Skirt,Clothing,33,Alabama,South,M,Pink,Fall,4.4,Yes,Express,Yes,46,Credit Card,Every 3 Months,90
571,65,Senior,Male,T-shirt,Clothing,99,Iowa,Midwest,XL,Purple,Fall,4.1,Yes,Standard,Yes,20,Cash,Annually,365
572,54,Middle-aged,Male,Jacket,Outerwear,76,Kentucky,South,XL,Cyan,Spring,3.6,Yes,Free Shipping,Yes,37,Venmo,Weekly,7
573,56,Middle-aged,Male,Scarf,Accessories,97,South Carolina,South,XL,Cyan,Summer,4.6,Yes,Next Day Air,Yes,26,Bank Transfer,Annually,365
574,58,Senior,Male,Pants,Clothing,68,California,West,M,Charcoal,Summer,3.2,Yes,2-Day Shipping,Yes,23,Credit Card,Bi-Weekly,14
575,54,Middle-aged,Male,Sneakers,Footwear,79,Maine,Northeast,L,Red,Fall,4.8,Yes,Free Shipping,Yes,20,Bank Transfer,Bi-Weekly,14
576,58,Senior,Male,Jeans,Clothing,86,Nebraska,Midwest,M,Peach,Fall,4.8,Yes,Express,Yes,38,PayPal,Monthly,30
577,48,Middle-aged,Male,Hat,Accessories,68,Washington,West,M,Black,Winter,5,Yes,2-Day Shipping,Yes,5,Credit Card,Every 3 Months,90
578,19,Young Adult,Male,Skirt,Clothing,52,Alabama,South,M,Black,Fall,3.7,Yes,Store Pickup,Yes,41,Venmo,Annually,365
579,69,Senior,Male,Sandals,Footwear,90,Maine,Northeast,M,Purple,Fall,4.6,Yes,Next Day Air,Yes,22,Credit Card,Fortnightly,14
580,58,Senior,Male,Sandals,Footwear,41,California,West,M,Violet,Winter,3.7,Yes,Free Shipping,Yes,48,Credit Card,Annually,365
581,49,Middle-aged,Male,Sweater,Clothing,80,Iowa,Midwest,M,Orange,Spring,4.1,Yes,Free Shipping,Yes,10,PayPal,Weekly,7
582,32,Adult,Male,Sweater,Clothing,100,Iowa,Midwest,XL,Charcoal,Winter,2.7,Yes,Store Pickup,Yes,12,Bank Transfer,Every 3 Months,90
583,40,Adult,Male,Jacket,Outerwear,77,Colorado,West,L,Turquoise,Spring,4.9,Yes,Store Pickup,Yes,2,Bank Transfer,Quarterly,90
584,25,Young Adult,Male,Shorts,Clothing,78,California,West,L,Yellow,Spring,4,Yes,Store Pickup,Yes,38,PayPal,Monthly,30
585,70,Senior,Male,Socks,Clothing,94,Indiana,Midwest,M,White,Spring,4.7,Yes,Free Shipping,Yes,20,Debit Card,Monthly,30
586,69,Senior,Male,Socks,Clothing,23,South Carolina,South,M,Gray,Fall,2.8,Yes,Next Day Air,Yes,5,Cash,Every 3 Months,90
587,45,Middle-aged,Male,Hoodie,Clothing,20,Wisconsin,Midwest,S,Blue,Winter,4.9,Yes,2-Day Shipping,Yes,9,Venmo,Annually,365
588,29,Young Adult,Male,Socks,Clothing,86,Washington,West,S,Maroon,Fall,4.2,Yes,Express,Yes,48,Debit Card,Every 3 Months,90
589,47,Middle-aged,Male,Boots,Footwear,60,South Dakota,Midwest,M,Violet,Fall,3,Yes,Standard,Yes,9,Debit Card,Quarterly,90
590,28,Young Adult,Male,Shirt,Clothing,70,Minnesota,Midwest,M,Orange,Fall,3.4,Yes,2-Day Shipping,Yes,40,PayPal,Annually,365
591,64,Senior,Male,Belt,Accessories,39,Alaska,West,S,Turquoise,Fall,4.6,Yes,Standard,Yes,30,Venmo,Fortnightly,14
592,47,Middle-aged,Male,Backpack,Accessories,37,Kentucky,South,L,Olive,Fall,4.2,Yes,Store Pickup,Yes,6,Debit Card,Bi-Weekly,14
593,60,Senior,Male,Boots,Footwear,29,North Dakota,Midwest,M,Brown,Fall,3.2,Yes,Free Shipping,Yes,42,Venmo,Every 3 Months,90
594,67,Senior,Male,Coat,Outerwear,35,Alaska,West,S,Green,Winter,4.4,Yes,Store Pickup,Yes,9,PayPal,Every 3 Months,90
595,35,Adult,Male,Hoodie,Clothing,83,Oklahoma,South,S,Brown,Winter,2.5,Yes,Next Day Air,Yes,6,Debit Card,Monthly,30
596,30,Young Adult,Male,Shoes,Footwear,77,Delaware,South,M,Silver,Summer,3.6,Yes,Next Day Air,Yes,47,PayPal,Quarterly,90
597,23,Young Adult,Male,Shoes,Footwear,37,Montana,West,XL,White,Summer,4.5,Yes,Store Pickup,Yes,36,Venmo,Annually,365
598,70,Senior,Male,Jewelry,Accessories,69,Alaska,West,L,Gold,Summer,3.4,Yes,Standard,Yes,19,Bank Transfer,Fortnightly,14
599,21,Young Adult,Male,Dress,Clothing,66,California,West,L,Green,Winter,3.2,Yes,2-Day Shipping,Yes,30,Cash,Every 3 Months,90
600,51,Middle-aged,Male,Boots,Footwear,26,Massachusetts,Northeast,L,Teal,Spring,4.2,Yes,Standard,Yes,27,Debit Card,Every 3 Months,90
601,22,Young Adult,Male,Hat,Accessories,63,South Carolina,South,M,Charcoal,Spring,5,Yes,2-Day Shipping,Yes,25,Venmo,Monthly,30
602,32,Adult,Male,Backpack,Accessories,38,West Virginia,South,M,Maroon,Summer,4.7,Yes,Store Pickup,Yes,5,Cash,Fortnightly,14
603,37,Adult,Male,Shoes,Footwear,58,Oregon,West,L,Lavender,Summer,4.2,Yes,Next Day Air,Yes,10,Cash,Every 3 Months,90
604,31,Young Adult,Male,Handbag,Accessories,46,Massachusetts,Northeast,L,Green,Winter,3.4,Yes,2-Day Shipping,Yes,26,PayPal,Every 3 Months,90
605,44,Adult,Male,Sunglasses,Accessories,92,West Virginia,South,S,Pink,Fall,4.4,Yes,Store Pickup,Yes,11,Credit Card,Every 3 Months,90
606,40,Adult,Male,Hat,Accessories,32,California,West,XL,Charcoal,Winter,4.2,Yes,Standard,Yes,17,Bank Transfer,Weekly,7
607,27,Young Adult,Male,Scarf,Accessories,90,Colorado,West,M,Blue,Spring,4.5,Yes,Standard,Yes,44,PayPal,Monthly,30
608,47,Middle-aged,Male,Hoodie,Clothing,23,Indiana,Midwest,L,Purple,Fall,2.8,Yes,Next Day Air,Yes,44,Cash,Monthly,30
609,41,Adult,Male,Backpack,Accessories,25,Delaware,South,S,Gold,Fall,3.3,Yes,Next Day Air,Yes,21,Venmo,Every 3 Months,90
610,51,Middle-aged,Male,Sweater,Clothing,54,Ohio,Midwest,L,Purple,Fall,4.6,Yes,Next Day Air,Yes,49,Credit Card,Fortnightly,14
611,53,Middle-aged,Male,Shorts,Clothing,72,Oklahoma,South,M,Charcoal,Summer,2.5,Yes,Free Shipping,Yes,27,Bank Transfer,Every 3 Months,90
612,43,Adult,Male,Scarf,Accessories,33,California,West,M,Black,Winter,4.7,Yes,Store Pickup,Yes,19,Cash,Monthly,30
613,67,Senior,Male,Hat,Accessories,43,New Hampshire,Northeast,L,Lavender,Fall,4.6,Yes,Express,Yes,33,Credit Card,Quarterly,90
614,61,Senior,Male,Coat,Outerwear,51,Pennsylvania,Northeast,L,Lavender,Fall,2.6,Yes,Standard,Yes,46,Cash,Bi-Weekly,14
615,68,Senior,Male,Jewelry,Accessories,85,Idaho,West,M,Lavender,Winter,4,Yes,Standard,Yes,21,Credit Card,Bi-Weekly,14
616,67,Senior,Male,Sandals,Footwear,100,Maryland,South,L,Olive,Summer,2.6,Yes,Next Day Air,Yes,23,Venmo,Annually,365
617,29,Young Adult,Male,Gloves,Accessories,72,Pennsylvania,Northeast,L,Teal,Spring,4.6,Yes,Free Shipping,Yes,38,Credit Card,Every 3 Months,90
618,50,Middle-aged,Male,Backpack,Accessories,57,Colorado,West,M,Maroon,Fall,2.6,Yes,Standard,Yes,2,Bank Transfer,Quarterly,90
619,61,Senior,Male,Jacket,Outerwear,94,Indiana,Midwest,L,Cyan,Spring,4,Yes,Express,Yes,21,Debit Card,Bi-Weekly,14
620,19,Young Adult,Male,Backpack,Accessories,34,Nebraska,Midwest,M,Charcoal,Summer,4.6,Yes,Store Pickup,Yes,1,Debit Card,Every 3 Months,90
621,33,Adult,Male,Backpack,Accessories,89,Rhode Island,Northeast,M,Black,Fall,3.7,Yes,2-Day Shipping,Yes,10,Venmo,Every 3 Months,90
622,51,Middle-aged,Male,Sunglasses,Accessories,27,Kansas,Midwest,S,Red,Fall,4.4,Yes,Store Pickup,Yes,45,Credit Card,Weekly,7
623,69,Senior,Male,Socks,Clothing,63,Georgia,South,S,Peach,Spring,4,Yes,Next Day Air,Yes,44,Bank Transfer,Fortnightly,14
624,19,Young Adult,Male,Shoes,Footwear,70,Nevada,West,M,White,Fall,4.7,Yes,Standard,Yes,48,PayPal,Bi-Weekly,14
625,55,Middle-aged,Male,Pants,Clothing,87,South Carolina,South,XL,Pink,Fall,3.4,Yes,Express,Yes,21,PayPal,Annually,365
626,49,Middle-aged,Male,Jewelry,Accessories,79,Delaware,South,M,Red,Fall,4,Yes,Next Day Air,Yes,1,Venmo,Weekly,7
627,31,Young Adult,Male,Sunglasses,Accessories,79,New Hampshire,Northeast,M,Indigo,Spring,3.9,Yes,Standard,Yes,10,Venmo,Annually,365
628,42,Adult,Male,Sandals,Footwear,44,Oregon,West,L,Black,Winter,4.1,Yes,Express,Yes,24,PayPal,Monthly,30
